id:ID,name,type:LABEL
ent::invention::5f95db,The present invention,invention
ent::device::d61489,display device,unknown
ent::aquarium::8e072f,pseudo aquarium,unknown
ent::effect::c112f0,visual effects,unknown
ent::creature::8af60a,real creatures,unknown
ent::object::46ac45,The object of,unknown
ent::seaweed::71e6db,seaweeds,unknown
ent::tank::9da790,water tank for appreciation,unknown
ent::fish::a22b24,tropical fish,unknown
ent::motif::49b1ad,motifs,unknown
ent::water::776e20,water,unknown
ent::air::86c29e,air,unknown
ent::interior::01302a,interiors,unknown
ent::home::4541f1,homes,unknown
ent::office::b00c6a,offices,unknown
ent::space::c65340,underwater space,unknown
ent::model::8f983f,aquatic animal pseudo models,unknown
ent::animal::b3f58a,aquatic animals,unknown
ent::plant::91736e,aquatic plants,unknown
ent::bubble::505ad7,wandering air bubble,unknown
ent::member::5ef74f,air bubble generating member,unknown
ent::feeding::bcded2,daily feeding,unknown
ent::condition::ad3e93,living conditions,unknown
ent::maintain::88073d,maintained,unknown
ent::food::cf888c,foods,unknown
ent::temperature::7a29f0,water temperature,unknown
ent::maintenance::88f863,environmental maintenance,unknown
ent::wall::edc932,bottom wall,unknown
ent::flow::2bf743,liquid flow,unknown
ent::pseudo::376dfd,pseudo creature models,unknown
ent::behave::99fe97,behave unnaturally,unknown
ent::rise::1c49b0,sudden rising,unknown
ent::domain::8a16e8,peripheral domains,unknown
ent::surface::d8a1b0,bottom surface,unknown
ent::display::3e2138,display device,unknown
ent::float::dc302e,float in the air,unknown
ent::spaceship::bb6960,spaceships,unknown
ent::appreciation::7440e7,appreciation,unknown
ent::adhesion::67b6aa,adhesion,unknown
ent::lie::5f6432,lying down,unknown
ent::movement::161b47,curvature movement,unknown
ent::behavior::531749,behavior,unknown
ent::swim::119d40,swimming,unknown
ent::pipe::6338fb,water pipes,unknown
ent::storage::23361c,cylindrical water storage,unknown
ent::port::c8df1d,water inlet water port,unknown
ent::portion::aa8eac,water inlet port portion,unknown
ent::liquid::6cd041,liquid,unknown
ent::end::d52226,the other end,unknown
ent::convection::1e9ac1,convection,unknown
ent::current::2769c2,induced current,unknown
ent::embodiment::b5fbb3,The preferred embodiments,unknown
ent::apparatus::3d0c8f,existing apparatuses,unknown
ent::art::5acbd6,Background Art,unknown
ent::figure::72de99,accompanying figures,unknown
ent::5::2fbc5c,5,unknown
ent::fig.4::f4baec,Fig.4,unknown
ent::view::ed4865,sectional view,unknown
ent::a::62058f,line A-A,unknown
ent::fig.3::f431a1,Fig.3,unknown
ent::1::5dd4fb,1,unknown
ent::2::ffc28d,2,unknown
ent::lift::aaf22c,lifting effect,unknown
ent::aeration::e5397a,air bubble aeration,unknown
ent::generation::b42e17,power generation,unknown
ent::downward::8d8c6e,downward,unknown
ent::upward::9d9864,upward,unknown
ent::type::29acc8,Water type,unknown
ent::solvent::02d2aa,oil type solvents,unknown
ent::vaporize::fecf03,vaporize,unknown
ent::fluidity::a7d574,good fluidity,unknown
ent::ingredient::769d56,main ingredient,unknown
ent::oil::219afa,oil,unknown
ent::alcohol::9ad036,alcohols,unknown
ent::suspending::0d7409,suspending,unknown
ent::shape::06aa34,polygonal column shape,unknown
ent::cube::615238,cube,unknown
ent::electrolyte::f250ef,polymeric electrolytes,unknown
ent::adjust::42f4e5,adjusting,unknown
ent::gravity::3be674,specific gravity,unknown
ent::region::3afe89,aerial regions,unknown
